City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Sao Raimundo Das Mangabeiras,BR,2021-12-18 00:16:30,-7.0219,-45.4811,77.31,81,84,3.94
116,Souillac,MU,2021-12-18 00:16:31,-20.5167,57.5167,75.58,88,75,3.44
117,Esperance,AU,2021-12-18 00:16:31,-33.8667,121.9,65.98,50,63,18.86
118,Vestmannaeyjar,IS,2021-12-18 00:16:32,63.4427,-20.2734,47.89,91,100,16.64
119,Carnarvon,AU,2021-12-18 00:16:32,-24.8667,113.6333,73.47,60,1,19.57
120,Saskylakh,RU,2021-12-18 00:12:14,71.9167,114.0833,-33.93,100,80,5.88
121,Srednekolymsk,RU,2021-12-18 00:16:32,67.45,153.6833,-20.31,97,100,7.63
122,Tilichiki,RU,2021-12-18 00:16:33,60.4667,166.1,-4.31,95,100,6.69
123,Porto Novo,BJ,2021-12-18 00:16:33,6.4965,2.6036,80.42,79,56,3.91
124,Yellowknife,CA,2021-12-18 00:14:02,62.456,-114.3525,-22.72,100,83,9.57
125,Dombarovskiy,RU,2021-12-18 00:16:34,50.7587,59.5386,28.29,94,100,3.09
126,Aldama,MX,2021-12-18 00:16:34,22.9167,-98.0667,79.0,83,70,8.77
127,Chokurdakh,RU,2021-12-18 00:13:42,70.6333,147.9167,-35.45,100,100,6.08
128,Sakakah,SA,2021-12-18 00:16:35,29.9697,40.2064,47.77,46,39,5.97
129,Tabas,IR,2021-12-18 00:16:35,33.5959,56.9244,49.95,16,84,4.54
130,Ishigaki,JP,2021-12-18 00:16:36,24.3448,124.1572,62.73,59,75,13.8
131,Abong Mbang,CM,2021-12-18 00:16:36,3.9833,13.1833,66.78,51,97,2.57
132,Prado,BR,2021-12-18 00:16:37,-17.3411,-39.2208,77.36,85,70,11.56
133,Saldanha,ZA,2021-12-18 00:16:37,-33.0117,17.9442,65.79,52,9,12.08
134,Half Moon Bay,US,2021-12-18 00:15:15,37.4636,-122.4286,57.02,70,1,13.8
135,Angoche,MZ,2021-12-18 00:17:37,-16.2325,39.9086,77.74,76,99,3.89
136,Maragogi,BR,2021-12-18 00:17:38,-9.0122,-35.2225,78.04,82,14,9.06
137,Airai,TL,2021-12-18 00:17:38,-8.9266,125.4092,72.05,57,98,1.21
138,Abasha,GE,2021-12-18 00:17:39,42.2096,42.2211,41.22,82,100,1.95
139,Broken Hill,AU,2021-12-18 00:17:39,-31.95,141.4333,99.37,16,95,15.26
140,Isiolo,KE,2021-12-18 00:17:40,0.3546,37.5822,66.43,74,100,1.59
141,Belmonte,BR,2021-12-18 00:17:40,-15.8631,-38.8828,79.3,85,58,8.75
142,Lieto,FI,2021-12-18 00:17:41,60.5103,22.4618,36.97,97,90,5.75
143,Christchurch,NZ,2021-12-18 00:15:14,-43.5333,172.6333,70.32,40,1,3.44
144,Tucupita,VE,2021-12-18 00:17:41,9.0622,-62.051,72.72,97,95,3.47
145,Bonanza,NI,2021-12-18 00:17:41,14.0289,-84.591,70.47,99,99,1.5
146,Port Moresby,PG,2021-12-18 00:14:06,-9.4431,147.1797,76.42,100,90,5.75
147,Rehburg-Loccum,DE,2021-12-18 00:17:42,52.4667,9.2,47.1,97,100,8.05
148,Provideniya,RU,2021-12-18 00:17:42,64.3833,-173.3,10.99,92,100,15.55
149,Dalby,AU,2021-12-18 00:17:43,-27.1833,151.2667,79.79,51,3,6.91
150,Guilin,CN,2021-12-18 00:17:43,25.2819,110.2864,48.31,37,46,8.41
151,Nikolskoye,RU,2021-12-18 00:17:44,59.7035,30.7861,30.09,99,94,2.89
152,Umm Kaddadah,SD,2021-12-18 00:17:44,13.6017,26.6876,60.85,30,65,14.83
153,Taoudenni,ML,2021-12-18 00:17:44,22.6783,-3.9836,79.12,20,100,4.61
154,Antalaha,MG,2021-12-18 00:17:45,-14.9003,50.2788,73.62,90,54,4.16
155,Namuac,PH,2021-12-18 00:17:45,18.6109,121.1657,73.38,89,100,25.57
156,Ust-Tsilma,RU,2021-12-18 00:17:46,65.441,52.1498,-3.75,100,85,3.6
157,Pevek,RU,2021-12-18 00:17:46,69.7008,170.3133,-8.48,96,100,3.8
158,Klaksvik,FO,2021-12-18 00:17:46,62.2266,-6.589,47.32,82,79,15.41
159,Hasaki,JP,2021-12-18 00:17:47,35.7333,140.8333,39.6,39,42,31.43
160,Qasigiannguit,GL,2021-12-18 00:17:47,68.8193,-51.1922,17.85,77,100,4.23
161,Cururupu,BR,2021-12-18 00:17:48,-1.8283,-44.8683,77.29,84,79,3.65
162,Ironton,US,2021-12-18 00:17:48,38.5368,-82.6829,47.03,94,90,3.44
