City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
175,Port Blair,IN,79.52,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
179,Onverwacht,SR,89.6,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
180,Podor,MR,78.75,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
182,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
183,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
189,La Huacana,MX,82.24,overcast clouds,18.9667,-101.8167,Hotel Yunuen
191,Coahuayana,MX,78.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
201,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
212,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
218,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
219,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
221,Cabo San Lucas,MX,77.05,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
224,Baculin,PH,77.41,few clouds,7.4525,126.5842,Baculin Cove Beach Resort
230,Kapoeta,SS,84.99,scattered clouds,4.7717,33.5903,Eastgate Hotel
232,Koutiala,ML,81.16,clear sky,12.3917,-5.4642,Hotel La Chaumiere
233,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
234,Izalco,SV,88.97,broken clouds,13.7447,-89.6731,Hostal Santa Maria
238,Uribia,CO,88.52,broken clouds,11.7139,-72.266,Hotel Uribia
242,Ambulu,ID,77.58,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
245,Sechura,PE,78.21,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
247,Bandundu,CD,78.48,broken clouds,-3.3167,17.3667,Coja Color
248,Takoradi,GH,81.09,clear sky,4.8845,-1.7554,Raybow International Hotel
251,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
258,Vanimo,PG,76.8,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
265,Bubaque,GW,81.14,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
266,Belle Glade,US,86.05,few clouds,26.6845,-80.6676,Mid-City Trailer Park
268,Imbituba,BR,76.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
277,Dores Do Indaia,BR,75.74,broken clouds,-19.4633,-45.6017,Hotel Central Dorense
279,Lorengau,PG,81.18,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
284,Tagusao,PH,79.3,overcast clouds,9.1924,117.8141,Toledo
286,Ailigandi,PA,82.8,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
288,Salalah,OM,77.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
291,Port-Gentil,GA,82.36,light rain,-0.7193,8.7815,Fengshui Residence
295,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
297,Freetown,SL,83.91,haze,8.484,-13.2299,The Country Lodge Hotel
299,Belmonte,BR,82.4,heavy intensity rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
300,Bafia,CM,76.93,clear sky,4.75,11.2333,Rim touristique hôtel
302,Dhidhdhoo,MV,81.5,overcast clouds,6.8833,73.1,Dhidhoo beach
307,Mackay,AU,75.04,scattered clouds,-21.15,149.2,International Lodge Motel
309,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
312,Nhulunbuy,AU,84.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
316,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
318,Rocha,UY,86.2,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
320,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
323,Biak,ID,76.35,broken clouds,-0.9131,122.8766,Penginapan Kim
326,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
328,Meulaboh,ID,75.56,overcast clouds,4.1363,96.1285,Kost Pria
336,Santa Luzia,BR,78.94,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
337,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
338,Cape Canaveral,US,85.21,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
