City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Podor,MR,16.6527,-14.9587,78.75,38,100,2.3,overcast clouds
181,Dunedin,NZ,-45.8742,170.5036,64.92,53,99,13.62,overcast clouds
182,Isangel,VU,-19.55,169.2667,78.91,94,75,3.44,broken clouds
183,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,100,2.19,light rain
184,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,98.65,39,75,10.36,broken clouds
185,Guerrero Negro,MX,27.9769,-114.0611,64.29,29,0,3.24,clear sky
186,Tiksi,RU,71.6872,128.8694,-18.69,100,100,5.66,overcast clouds
187,Aljezur,PT,37.3191,-8.8033,59.61,85,100,18.43,overcast clouds
188,Korla,CN,41.7597,86.1469,22.17,58,9,1.63,clear sky
189,La Huacana,MX,18.9667,-101.8167,82.24,40,96,5.66,overcast clouds
190,Kahului,US,20.8947,-156.47,74.84,85,20,19.57,light rain
191,Coahuayana,MX,18.7333,-103.6833,78.28,47,100,2.71,overcast clouds
192,Sibolga,ID,1.7427,98.7792,74.8,88,100,2.55,light rain
193,Barranca,PE,-10.75,-77.7667,72.39,70,17,11.3,few clouds
194,Aykhal,RU,66.0,111.5,-35.59,100,98,9.44,overcast clouds
195,Cidreira,BR,-30.1811,-50.2056,73.96,68,0,22.73,clear sky
196,Inta,RU,66.0317,60.1659,-5.4,78,75,13.47,broken clouds
197,Anadyr,RU,64.75,177.4833,10.9,85,75,17.9,light snow
198,Silvia,CO,2.611,-76.3785,62.6,85,78,1.63,broken clouds
199,Olafsvik,IS,64.8945,-23.7142,43.16,86,100,1.68,overcast clouds
200,Mahon,ES,39.8885,4.2658,46.96,87,20,3.44,few clouds
201,Avarua,CK,-21.2078,-159.775,78.85,73,20,9.22,few clouds
202,Provideniya,RU,64.3833,-173.3,33.94,99,100,12.66,light rain
203,Seoul,KR,37.5683,126.9778,42.24,86,75,5.75,broken clouds
204,Turukhansk,RU,65.8167,87.9833,-36.38,95,11,3.85,few clouds
205,Hudson Bay,CA,52.85,-102.3842,5.76,83,98,10.89,overcast clouds
206,Diplo,PK,24.4667,69.584,58.64,36,22,1.88,few clouds
207,Challapata,BO,-18.9,-66.7667,50.92,78,99,2.35,light rain
208,Imphal,IN,24.8167,93.95,49.69,90,0,2.59,clear sky
209,Haines Junction,CA,60.7522,-137.5108,-16.65,76,89,1.14,overcast clouds
210,Ampanihy,MG,-24.7,44.75,65.97,68,100,12.39,overcast clouds
211,Saint George,US,37.1041,-113.5841,46.87,53,1,3.0,clear sky
212,Natal,BR,-5.795,-35.2094,88.45,66,40,11.5,scattered clouds
213,Te Anau,NZ,-45.4167,167.7167,60.06,75,99,13.35,overcast clouds
214,Aztec,US,36.8222,-107.9929,43.3,45,4,0.72,clear sky
215,Andra,RU,62.5147,65.8878,-3.44,96,100,14.2,light snow
216,Platteville,US,42.7342,-90.4785,32.72,80,90,12.66,overcast clouds
217,Lavrentiya,RU,65.5833,-171.0,34.43,97,100,20.94,overcast clouds
218,Mahebourg,MU,-20.4081,57.7,80.26,78,75,1.14,broken clouds
219,Touros,BR,-5.1989,-35.4608,88.7,66,96,12.15,overcast clouds
220,Srednekolymsk,RU,67.45,153.6833,-29.54,97,100,17.96,overcast clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,77.05,73,40,3.44,scattered clouds
222,Esperance,AU,-33.8667,121.9,55.24,70,0,3.02,clear sky
223,Saint Joseph,US,39.7686,-94.8466,33.48,36,0,13.31,clear sky
224,Baculin,PH,7.4525,126.5842,77.41,85,19,6.51,few clouds
225,Glens Falls,US,43.3095,-73.644,31.98,75,75,11.5,broken clouds
226,La Ronge,CA,55.1001,-105.2842,-1.95,65,40,13.8,light snow
227,Poya,NC,-21.35,165.15,77.32,84,14,3.22,few clouds
228,Saint-Augustin,CA,51.226,-58.6502,14.4,66,6,14.76,clear sky
229,Hamilton,US,39.1834,-84.5333,39.78,70,90,1.99,overcast clouds
230,Kapoeta,SS,4.7717,33.5903,84.99,42,36,7.11,scattered clouds
231,San Joaquin,US,37.9333,-121.3011,48.13,91,90,0.0,mist
232,Koutiala,ML,12.3917,-5.4642,81.16,13,0,9.26,clear sky
233,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,75,1.14,broken clouds
234,Izalco,SV,13.7447,-89.6731,88.97,50,72,4.92,broken clouds
235,Port Hardy,CA,50.6996,-127.4199,37.76,87,75,12.66,broken clouds
236,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,77,73,12.82,broken clouds
237,Lima,PE,-12.0432,-77.0282,70.14,68,90,9.22,overcast clouds
238,Uribia,CO,11.7139,-72.266,88.52,48,64,22.15,broken clouds
239,Brookings,US,44.3114,-96.7984,25.21,76,1,27.63,clear sky
240,Yuanping,CN,38.7153,112.7575,28.49,41,8,2.53,clear sky
241,Klaksvik,FO,62.2266,-6.589,40.12,76,100,12.01,overcast clouds
242,Ambulu,ID,-8.345,113.6058,77.58,92,100,3.49,moderate rain
243,Lumby,CA,50.2498,-118.969,29.73,80,37,3.44,scattered clouds
244,Muhos,FI,64.808,25.9931,19.18,88,37,8.1,scattered clouds
245,Sechura,PE,-5.5569,-80.8222,78.21,61,80,10.16,broken clouds
246,Tezu,IN,27.9167,96.1667,58.39,48,0,3.67,clear sky
247,Bandundu,CD,-3.3167,17.3667,78.48,73,67,1.16,broken clouds
248,Takoradi,GH,4.8845,-1.7554,81.09,75,3,9.48,clear sky
249,Faya,SA,18.3851,42.4509,59.11,69,2,2.89,clear sky
250,Clyde River,CA,70.4692,-68.5914,-2.83,98,100,2.68,overcast clouds
251,Mitsamiouli,KM,-11.3847,43.2844,82.69,74,20,3.44,few clouds
252,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,40,18.41,scattered clouds
253,Poopo,BO,-18.3667,-66.9667,52.54,61,100,6.71,overcast clouds
254,Nome,US,64.5011,-165.4064,34.16,100,90,19.57,light rain
255,Maneadero,MX,31.7167,-116.5667,64.18,45,0,1.01,clear sky
256,Albany,US,42.6001,-73.9662,30.81,74,64,7.0,broken clouds
257,Port Lincoln,AU,-34.7333,135.8667,55.49,76,6,6.55,clear sky
258,Vanimo,PG,-2.6741,141.3028,76.8,94,99,8.72,light rain
259,Wattens,AT,47.2722,11.5993,27.54,84,0,1.99,clear sky
260,Katangli,RU,51.7102,143.2326,-9.29,98,76,9.42,broken clouds
261,Ringebu,NO,61.5167,10.1667,17.98,93,32,6.11,scattered clouds
